Close,log return,,,
33678.82551,-0.011112007,,,
33942.62507,0.007802285,,,
33880.02274,-0.00184606,,,
34075.95607,0.005766494,,,
33935.48642,-0.004130771,,,
34098.06788,0.004779458,,,
34410.52288,0.009121693,,,
34489.11294,0.002281292,,,
34268.31362,-0.006422581,,,
34122.9007,-0.004252392,,,
34078.11682,-0.001313291,,,
34336.90239,0.007565204,,,
34167.62396,-0.004942119,,,
34057.93767,-0.003215404,,,
33849.98657,-0.006124521,,,
34015.55676,0.004879369,,,
33942.61477,-0.002146674,,,
33859.4114,-0.002454305,,,
33807.14507,-0.00154482,,,
33300,-0.015114776,,,
33023.99407,-0.008323007,,,
33359.67362,0.010113404,,,
33544.21185,0.005516532,,,
33638.94454,0.002820134,,,
33423.72504,-0.006418481,,,
33247.74599,-0.005279003,,,
32684.40145,-0.017089031,,,
32617.0815,-0.002061821,,,
33091.39533,0.014437165,,,
33029.13489,-0.001883242,,,
32894.19104,-0.004093969,,,
32934.65291,0.001229305,,,
32543.02989,-0.011962173,,,
32605.24718,0.001910022,,,
32763.90573,0.004854242,,,
32810.60292,0.001424249,,,
32576.92653,-0.00714746,,,
32475.12102,-0.003129973,,,
32760,0.00873397,,,
33295.98321,0.016228506,,,
33691.19451,0.011799747,,,
33585.56611,-0.003140118,,,
33702.42086,0.003473276,,,
33671.36608,-0.000921865,,,
33710.31482,0.001156063,,,
33732.70004,0.000663826,,,
33559.19549,-0.005156785,,,
33284.19392,-0.008228282,,,
33502.93224,0.006550337,,,
33261.23864,-0.00724025,,,
33123.25826,-0.004157012,,,
33374.02665,0.00754225,,,
33478.46672,0.003124496,,,
33279.87656,-0.005949541,,,
33012.98212,-0.008052025,,,
32752.82868,-0.007911551,,,
32790.71068,0.001155934,,,
32618.75627,-0.005257796,,,
32840.57071,0.006777194,,,
32764.58554,-0.00231644,,,
32687.79476,-0.002346464,,,
33072.84998,0.011710944,,,
33193.59201,0.003644142,,,
33197.0703,0.000104783,,,
33067.33079,-0.003915818,,,
33145.00151,0.002346111,,,
33458.75731,0.009421634,,,
33395.80326,-0.001883314,,,
33310,-0.002572589,,,
33255.36158,-0.001641647,,,
33496.47706,0.007224266,,,
33476.42316,-0.000598866,,,
33323.70786,-0.004572314,,,
33245.5645,-0.002347732,,,
33254.22525,0.000260475,,,
33187.78445,-0.001999964,,,
33236.44043,0.001465008,,,
33042.17132,-0.005862213,,,
32824.05989,-0.006622885,,,
33039.68773,0.006547718,,,
33235.46586,0.005908057,,,
32968.41903,-0.00806745,,,
33139.21767,0.005167301,,,
32787.72969,-0.010663054,,,
32348.34693,-0.01349143,,,
31967.25149,-0.011850932,,,
32069.05079,0.003179427,,,
32417.91417,0.010819761,,,
32150.56601,-0.008281121,,,
31750.9,-0.012508984,,,
32035.80626,0.008933152,,,
31709.10926,-0.010250225,,,
31592.13944,-0.00369566,,,
30966.76419,-0.019993831,,,
31004.89051,0.001230444,,,
29800,-0.039636557,,,
29098.38087,-0.023825861,,,
29697.91046,0.020394156,,,
30295.42893,0.019920152,,,
29928.58111,-0.012182927,,,
30207.49668,0.009276214,,,
30253.0253,0.001506061,,,
30736.4509,0.015853086,,,
30865.29203,0.004183041,,,
31021.9425,0.005062459,,,
31271.8273,0.008022829,,,
31231.34767,-0.001295283,,,
30914.82976,-0.010186327,,,
31140.1726,0.007262713,,,
30984.97851,-0.004996186,,,
31375.21393,0.012515693,,,
31549.16919,0.005529039,,,
31732.88442,0.005806251,,,
31839.05497,0.003340173,,,
31839.05497,0,,,
31832.59485,-0.00020292,,,
32019.15169,0.005843454,,,
31834.56877,-0.005781446,,,
31728.83242,-0.00332696,,,
31221.79996,-0.01610924,,,
31081,-0.004519868,,,
31187.19303,0.003410831,,,
31282.93758,0.003065293,,,
31011.37374,-0.008718792,,,
31022.84928,0.000369975,,,
30827,-0.006333077,,,
31017.10526,0.006147906,,,
31166,0.004788922,,,
31400.03403,0.00748122,,,
31321.22429,-0.002513017,,,
31160.31213,-0.005150722,,,
31115.37411,-0.001443197,,,
31399.15323,0.009078884,,,
31674.39341,0.00872765,,,
31642.30126,-0.001013703,,,
31544.43729,-0.003097614,,,
31377.3459,-0.005311095,,,
31365.99092,-0.00036195,,,
31252.48161,-0.00362543,,,
31544.98683,0.009315896,,,
31043.67295,-0.016019663,,,
30886.25448,-0.005083772,,,
31010.58497,0.004017351,,,
31185.21309,0.005615446,,,
31298.54368,0.003627526,,,
31437.31814,0.004424095,,,
31338.00472,-0.003164094,,,
31275.1442,-0.002007902,,,
31747.18317,0.014980335,,,
31872.86891,0.003951141,,,
31996.26898,0.003864158,,,
32500,0.015620788,,,
32350,-0.004626068,,,
32798.93521,0.013782031,,,
32384.63023,-0.012712117,,,
32424.84704,0.001241078,,,
32504.20867,0.002444565,,,
32522.25743,0.00055512,,,
32768.67,0.007548177,,,
32645.8467,-0.003755235,,,
32491.34611,-0.004743861,,,
