Date,High,Low,gold_close
2019/9/12,"1,515.40","1,498.70","1,498.70"
2019/9/13,"1,490.90","1,486.90","1,490.90"
2019/9/16,"1,506.80","1,496.90","1,503.10"
2019/9/17,"1,505.10","1,497.90","1,505.10"
2019/9/18,"1,509.40","1,489.30","1,507.50"
2019/9/19,"1,502.40","1,496.10","1,498.40"
2019/9/20,"1,507.30","1,503.00","1,507.30"
2019/9/23,"1,523.70","1,515.50","1,523.70"
2019/9/24,"1,533.00","1,515.10","1,532.10"
2019/9/25,"1,527.90","1,504.60","1,504.60"
2019/9/26,"1,507.50","1,507.50","1,507.50"
2019/9/27,"1,506.10","1,485.60","1,499.10"
2019/9/30,"1,495.90","1,463.50","1,465.70"
2019/10/1,"1,485.50","1,458.30","1,482.00"
2019/10/2,"1,503.70","1,474.10","1,501.00"
2019/10/3,"1,518.20","1,496.60","1,507.10"
2019/10/4,"1,508.70","1,497.10","1,506.20"
2019/10/7,"1,505.80","1,489.10","1,497.70"
2019/10/8,"1,506.30","1,489.30","1,497.20"
2019/10/9,"1,507.70","1,498.40","1,506.10"
2019/10/10,"1,511.20","1,490.60","1,494.80"
2019/10/11,"1,494.90","1,476.90","1,482.70"
2019/10/14,"1,493.50","1,481.30","1,491.70"
2019/10/15,"1,495.40","1,476.60","1,477.60"
2019/10/16,"1,488.00","1,480.00","1,488.00"
2019/10/17,"1,493.20","1,485.80","1,492.30"
2019/10/18,"1,489.10","1,486.60","1,488.20"
2019/10/21,"1,489.90","1,481.50","1,482.40"
2019/10/22,"1,483.50","1,481.70","1,481.70"
2019/10/23,"1,490.30","1,486.40","1,489.90"
2019/10/24,"1,501.20","1,485.90","1,498.90"
2019/10/25,"1,514.30","1,499.00","1,499.50"
2019/10/28,"1,504.10","1,490.00","1,490.00"
2019/10/29,"1,487.00","1,485.90","1,487.00"
2019/10/30,"1,495.40","1,481.00","1,493.20"
2019/10/31,"1,513.10","1,496.10","1,511.40"
2019/11/1,"1,511.60","1,503.00","1,508.00"
2019/11/4,"1,511.60","1,508.00","1,508.00"
2019/11/5,"1,507.10","1,480.80","1,480.80"
2019/11/6,"1,491.00","1,483.20","1,490.20"
2019/11/7,"1,489.10","1,464.20","1,464.20"
2019/11/8,"1,469.10","1,461.30","1,461.30"
2019/11/11,"1,461.00","1,449.30","1,455.50"
